Energy XAS
392.3652038574219 1.0916584869846702e-05
392.3852233886719 1.095162679121131e-05
392.40521240234375 1.0986808774759993e-05
392.4252014160156 1.1022189028153662e-05
392.4452209472656 1.105782030208502e-05
392.4652099609375 1.1093595276179258e-05
392.4852294921875 1.1129626727779396e-05
392.5052185058594 1.1165803698531818e-05
392.52520751953125 1.120218621508684e-05
392.54522705078125 1.1238833394600078e-05
392.5652160644531 1.1275629731244408e-05
392.585205078125 1.1312637070659548e-05
392.605224609375 1.1349915439495817e-05
392.6252136230469 1.138735024142079e-05
392.64520263671875 1.1425002412579488e-05
392.66522216796875 1.1462931070127524e-05
392.6852111816406 1.1501022527227178e-05
392.7052307128906 1.1539393199200276e-05
392.7252197265625 1.15779312181985e-05
392.7452392578125 1.1616752090048976e-05
392.7652282714844 1.1655743946903385e-05
392.78521728515625 1.1694965905917343e-05
392.80523681640625 1.1734477084246464e-05
392.8252258300781 1.1774162885558326e-05
392.84521484375 1.181408060801914e-05
392.865234375 1.1854298463731539e-05
392.8852233886719 1.189469185192138e-05
392.90521240234375 1.193532625620719e-05
392.92523193359375 1.19762680697022e-05
392.9452209472656 1.2017389963148162e-05
392.9652404785156 1.2058820175298024e-05
392.9852294921875 1.2100437743356451e-05
393.0052185058594 1.2142305422457866e-05
393.0252380371094 1.21844905152102e-05
393.04522705078125 1.2226869330334011e-05
393.0652160644531 1.2269503713469021e-05
393.0852355957031 1.2312468243180774e-05
393.105224609375 1.2355627404758707e-05
